species	Function	S	S_genome	narr_og_cat	Process	Genus	Order	Lifestyle	S_norm
Cutaneotrichosporon_cutaneum_JCM_1462	RNA processing and modification	0.586755036	0.548197299	A	INFORMATION STORAGE AND PROCESSING	Cutaneotrichosporon	Trichosporonales	Clinical	1.070335512
Cutaneotrichosporon_cutaneum_JCM_1462	Transcription	0.313905977	0.548197299	K	INFORMATION STORAGE AND PROCESSING	Cutaneotrichosporon	Trichosporonales	Clinical	0.572614966
Cutaneotrichosporon_cutaneum_JCM_1462	Lipid transport and metabolism	0.719608312	0.548197299	I	METABOLISM	Cutaneotrichosporon	Trichosporonales	Clinical	1.312681244
Cutaneotrichosporon_cutaneum_JCM_1462	Nuclear structure	0.591909421	0.548197299	Y	CELLULAR PROCESSES AND SIGNALING	Cutaneotrichosporon	Trichosporonales	Clinical	1.079737939
Cutaneotrichosporon_cutaneum_JCM_1462	Energy production and conversion	0.778962803	0.548197299	C	METABOLISM	Cutaneotrichosporon	Trichosporonales	Clinical	1.420953378
Cutaneotrichosporon_cutaneum_JCM_1462	Nucleotide transport and metabolism	0.700395925	0.548197299	F	METABOLISM	Cutaneotrichosporon	Trichosporonales	Clinical	1.277634763
Cutaneotrichosporon_cutaneum_JCM_1462	Cell motility	0.874155192	0.548197299	N	CELLULAR PROCESSES AND SIGNALING	Cutaneotrichosporon	Trichosporonales	Clinical	1.594599598
Cutaneotrichosporon_cutaneum_JCM_1462	Cell cycle control, cell division, chromosome partitioning	0.351324111	0.548197299	D	CELLULAR PROCESSES AND SIGNALING	Cutaneotrichosporon	Trichosporonales	Clinical	0.640871656
Cutaneotrichosporon_cutaneum_JCM_1462	Post-translational modification, protein turnover, and chaperones	0.590387164	0.548197299	O	CELLULAR PROCESSES AND SIGNALING	Cutaneotrichosporon	Trichosporonales	Clinical	1.076961097
Cutaneotrichosporon_cutaneum_JCM_1462	Extracellular structures	0.181766467	0.548197299	W	CELLULAR PROCESSES AND SIGNALING	Cutaneotrichosporon	Trichosporonales	Clinical	0.331571256
Cutaneotrichosporon_cyanovorans_JCM_31833	Intracellular trafficking, secretion, and vesicular transport	0.292603397	0.49920402	U	CELLULAR PROCESSES AND SIGNALING	Cutaneotrichosporon	Trichosporonales	Environmental	0.586139905
Cutaneotrichosporon_cyanovorans_JCM_31833	Translation, ribosomal structure and biogenesis	0.744223463	0.49920402	J	INFORMATION STORAGE AND PROCESSING	Cutaneotrichosporon	Trichosporonales	Environmental	1.490820252
Cutaneotrichosporon_cyanovorans_JCM_31833	Cytoskeleton	0.45026539	0.49920402	Z	CELLULAR PROCESSES AND SIGNALING	Cutaneotrichosporon	Trichosporonales	Environmental	0.901966674
Cutaneotrichosporon_cyanovorans_JCM_31833	Lipid transport and metabolism	0.519960875	0.49920402	I	METABOLISM	Cutaneotrichosporon	Trichosporonales	Environmental	1.041579904
Cutaneotrichosporon_cyanovorans_JCM_31833	Post-translational modification, protein turnover, and chaperones	0.519683491	0.49920402	O	CELLULAR PROCESSES AND SIGNALING	Cutaneotrichosporon	Trichosporonales	Environmental	1.041024251
Cutaneotrichosporon_cyanovorans_JCM_31833	Replication, recombination and repair	0.197044728	0.49920402	L	INFORMATION STORAGE AND PROCESSING	Cutaneotrichosporon	Trichosporonales	Environmental	0.394717831
Cutaneotrichosporon_cyanovorans_JCM_31833	Coenzyme transport and metabolism	0.604296708	0.49920402	H	METABOLISM	Cutaneotrichosporon	Trichosporonales	Environmental	1.210520515
Cutaneotrichosporon_cyanovorans_JCM_31833	Cell motility	0.216287431	0.49920402	N	CELLULAR PROCESSES AND SIGNALING	Cutaneotrichosporon	Trichosporonales	Environmental	0.433264601
Cutaneotrichosporon_cyanovorans_JCM_31833	Cell wall, membrane, envelope biogenesis	0.507167142	0.49920402	M	CELLULAR PROCESSES AND SIGNALING	Cutaneotrichosporon	Trichosporonales	Environmental	1.015951639
Cutaneotrichosporon_cyanovorans_JCM_31833	Nucleotide transport and metabolism	0.592157424	0.49920402	F	METABOLISM	Cutaneotrichosporon	Trichosporonales	Environmental	1.186203235
Cutaneotrichosporon_cyanovorans_JCM_31833	Secondary metabolites biosynthesis, transport, and catabolism	0.518938631	0.49920402	Q	METABOLISM	Cutaneotrichosporon	Trichosporonales	Environmental	1.039532154
Cutaneotrichosporon_cyanovorans_JCM_31833	Inorganic ion transport and metabolism	0.59407698	0.49920402	P	METABOLISM	Cutaneotrichosporon	Trichosporonales	Environmental	1.19004847
Cutaneotrichosporon_cyanovorans_JCM_31833	Amino acid transport and metabolism	0.637008631	0.49920402	E	METABOLISM	Cutaneotrichosporon	Trichosporonales	Environmental	1.27604868
Cutaneotrichosporon_cyanovorans_JCM_31833	Signal transduction mechanisms	0.369464256	0.49920402	T	CELLULAR PROCESSES AND SIGNALING	Cutaneotrichosporon	Trichosporonales	Environmental	0.740106732
Cutaneotrichosporon_cyanovorans_JCM_31833	Chromatin structure and dynamics	0.805663141	0.49920402	B	INFORMATION STORAGE AND PROCESSING	Cutaneotrichosporon	Trichosporonales	Environmental	1.613895539
Cutaneotrichosporon_cyanovorans_JCM_31833	Extracellular structures	0.788250534	0.49920402	W	CELLULAR PROCESSES AND SIGNALING	Cutaneotrichosporon	Trichosporonales	Environmental	1.579014795
Cutaneotrichosporon_cyanovorans_JCM_31833	Transcription	0.284537978	0.49920402	K	INFORMATION STORAGE AND PROCESSING	Cutaneotrichosporon	Trichosporonales	Environmental	0.569983347
Cutaneotrichosporon_cyanovorans_JCM_31833	Defense mechanisms	0.464673455	0.49920402	V	CELLULAR PROCESSES AND SIGNALING	Cutaneotrichosporon	Trichosporonales	Environmental	0.930828751
Cutaneotrichosporon_cyanovorans_JCM_31833	Energy production and conversion	0.610820709	0.49920402	C	METABOLISM	Cutaneotrichosporon	Trichosporonales	Environmental	1.223589322
Cutaneotrichosporon_cyanovorans_JCM_31833	RNA processing and modification	0.508456777	0.49920402	A	INFORMATION STORAGE AND PROCESSING	Cutaneotrichosporon	Trichosporonales	Environmental	1.01853502
Cutaneotrichosporon_cyanovorans_JCM_31833	Carbohydrate transport and metabolism	0.586184545	0.49920402	G	METABOLISM	Cutaneotrichosporon	Trichosporonales	Environmental	1.17423843
Cutaneotrichosporon_cyanovorans_JCM_31833	Cell cycle control, cell division, chromosome partitioning	0.319266768	0.49920402	D	CELLULAR PROCESSES AND SIGNALING	Cutaneotrichosporon	Trichosporonales	Environmental	0.639551677
Cutaneotrichosporon_cyanovorans_JCM_31833	Nuclear structure	0.513199746	0.49920402	Y	CELLULAR PROCESSES AND SIGNALING	Cutaneotrichosporon	Trichosporonales	Environmental	1.028036084
Cutaneotrichosporon_daszewskae_JCM_11166	Chromatin structure and dynamics	0.813976347	0.575581052	B	INFORMATION STORAGE AND PROCESSING	Cutaneotrichosporon	Trichosporonales	Clinical	1.414181971
Cutaneotrichosporon_daszewskae_JCM_11166	Intracellular trafficking, secretion, and vesicular transport	0.560474852	0.575581052	U	CELLULAR PROCESSES AND SIGNALING	Cutaneotrichosporon	Trichosporonales	Clinical	0.973754869
Cutaneotrichosporon_daszewskae_JCM_11166	Cell cycle control, cell division, chromosome partitioning	0.455130786	0.575581052	D	CELLULAR PROCESSES AND SIGNALING	Cutaneotrichosporon	Trichosporonales	Clinical	0.790732746
Cutaneotrichosporon_daszewskae_JCM_11166	Cell wall, membrane, envelope biogenesis	0.651504482	0.575581052	M	CELLULAR PROCESSES AND SIGNALING	Cutaneotrichosporon	Trichosporonales	Clinical	1.131907452
Cutaneotrichosporon_daszewskae_JCM_11166	RNA processing and modification	0.621361167	0.575581052	A	INFORMATION STORAGE AND PROCESSING	Cutaneotrichosporon	Trichosporonales	Clinical	1.079537215
Cutaneotrichosporon_daszewskae_JCM_11166	Cell motility	0.612985855	0.575581052	N	CELLULAR PROCESSES AND SIGNALING	Cutaneotrichosporon	Trichosporonales	Clinical	1.06498616
Cutaneotrichosporon_daszewskae_JCM_11166	Cytoskeleton	0.438378266	0.575581052	Z	CELLULAR PROCESSES AND SIGNALING	Cutaneotrichosporon	Trichosporonales	Clinical	0.761627341
Cutaneotrichosporon_daszewskae_JCM_11166	Signal transduction mechanisms	0.531463873	0.575581052	T	CELLULAR PROCESSES AND SIGNALING	Cutaneotrichosporon	Trichosporonales	Clinical	0.923351925
Cutaneotrichosporon_daszewskae_JCM_11166	Nuclear structure	0.670579289	0.575581052	Y	CELLULAR PROCESSES AND SIGNALING	Cutaneotrichosporon	Trichosporonales	Clinical	1.165047539
Cutaneotrichosporon_daszewskae_JCM_11166	Secondary metabolites biosynthesis, transport, and catabolism	0.636957072	0.575581052	Q	METABOLISM	Cutaneotrichosporon	Trichosporonales	Clinical	1.106633148
Cutaneotrichosporon_daszewskae_JCM_11166	Post-translational modification, protein turnover, and chaperones	0.604311038	0.575581052	O	CELLULAR PROCESSES AND SIGNALING	Cutaneotrichosporon	Trichosporonales	Clinical	1.049914752
Cutaneotrichosporon_daszewskae_JCM_11166	Transcription	0.181688598	0.575581052	K	INFORMATION STORAGE AND PROCESSING	Cutaneotrichosporon	Trichosporonales	Clinical	0.315661186
Cutaneotrichosporon_daszewskae_JCM_11166	Lipid transport and metabolism	0.630648828	0.575581052	I	METABOLISM	Cutaneotrichosporon	Trichosporonales	Clinical	1.095673363
Cutaneotrichosporon_daszewskae_JCM_11166	Defense mechanisms	0.473595349	0.575581052	V	CELLULAR PROCESSES AND SIGNALING	Cutaneotrichosporon	Trichosporonales	Clinical	0.822812612
Cutaneotrichosporon_daszewskae_JCM_11166	Inorganic ion transport and metabolism	0.492362511	0.575581052	P	METABOLISM	Cutaneotrichosporon	Trichosporonales	Clinical	0.855418205
Cutaneotrichosporon_daszewskae_JCM_11166	Coenzyme transport and metabolism	0.762665931	0.575581052	H	METABOLISM	Cutaneotrichosporon	Trichosporonales	Clinical	1.325036549
Cutaneotrichosporon_daszewskae_JCM_11166	Nucleotide transport and metabolism	0.596894728	0.575581052	F	METABOLISM	Cutaneotrichosporon	Trichosporonales	Clinical	1.037029843
Cutaneotrichosporon_daszewskae_JCM_11166	Replication, recombination and repair	0.394435084	0.575581052	L	INFORMATION STORAGE AND PROCESSING	Cutaneotrichosporon	Trichosporonales	Clinical	0.685281564
Cutaneotrichosporon_daszewskae_JCM_11166	Extracellular structures	-0.072549709	0.575581052	W	CELLULAR PROCESSES AND SIGNALING	Cutaneotrichosporon	Trichosporonales	Clinical	-0.126046035
Cutaneotrichosporon_daszewskae_JCM_11166	Carbohydrate transport and metabolism	0.684382201	0.575581052	G	METABOLISM	Cutaneotrichosporon	Trichosporonales	Clinical	1.189028371
Cutaneotrichosporon_daszewskae_JCM_11166	Translation, ribosomal structure and biogenesis	0.787268462	0.575581052	J	INFORMATION STORAGE AND PROCESSING	Cutaneotrichosporon	Trichosporonales	Clinical	1.367780365
Cutaneotrichosporon_daszewskae_JCM_11166	Amino acid transport and metabolism	0.726327256	0.575581052	E	METABOLISM	Cutaneotrichosporon	Trichosporonales	Clinical	1.261902652
Cutaneotrichosporon_daszewskae_JCM_11166	Energy production and conversion	0.617347099	0.575581052	C	METABOLISM	Cutaneotrichosporon	Trichosporonales	Clinical	1.072563276
Cutaneotrichosporon_dermatis_ATCC_204094	Replication, recombination and repair	0.575881374	0.654911221	L	INFORMATION STORAGE AND PROCESSING	Cutaneotrichosporon	Trichosporonales	Clinical	0.879327388
Cutaneotrichosporon_dermatis_ATCC_204094	Cytoskeleton	0.523133609	0.654911221	Z	CELLULAR PROCESSES AND SIGNALING	Cutaneotrichosporon	Trichosporonales	Clinical	0.798785533
Cutaneotrichosporon_dermatis_ATCC_204094	Translation, ribosomal structure and biogenesis	0.80235624	0.654911221	J	INFORMATION STORAGE AND PROCESSING	Cutaneotrichosporon	Trichosporonales	Clinical	1.225137414
Cutaneotrichosporon_dermatis_ATCC_204094	Chromatin structure and dynamics	0.887244534	0.654911221	B	INFORMATION STORAGE AND PROCESSING	Cutaneotrichosporon	Trichosporonales	Clinical	1.354755431
Cutaneotrichosporon_dermatis_ATCC_204094	Post-translational modification, protein turnover, and chaperones	0.58390754	0.654911221	O	CELLULAR PROCESSES AND SIGNALING	Cutaneotrichosporon	Trichosporonales	Clinical	0.891582739
Cutaneotrichosporon_dermatis_ATCC_204094	Cell cycle control, cell division, chromosome partitioning	0.505476353	0.654911221	D	CELLULAR PROCESSES AND SIGNALING	Cutaneotrichosporon	Trichosporonales	Clinical	0.771824236
Cutaneotrichosporon_dermatis_ATCC_204094	Amino acid transport and metabolism	0.816899481	0.654911221	E	METABOLISM	Cutaneotrichosporon	Trichosporonales	Clinical	1.247343846
Cutaneotrichosporon_dermatis_ATCC_204094	Inorganic ion transport and metabolism	0.749627496	0.654911221	P	METABOLISM	Cutaneotrichosporon	Trichosporonales	Clinical	1.144624602
Cutaneotrichosporon_dermatis_ATCC_204094	Defense mechanisms	0.547150276	0.654911221	V	CELLULAR PROCESSES AND SIGNALING	Cutaneotrichosporon	Trichosporonales	Clinical	0.835457171
Cutaneotrichosporon_dermatis_ATCC_204094	Lipid transport and metabolism	0.780249818	0.654911221	I	METABOLISM	Cutaneotrichosporon	Trichosporonales	Clinical	1.191382577
Cutaneotrichosporon_dermatis_ATCC_204094	Extracellular structures	0.726887461	0.654911221	W	CELLULAR PROCESSES AND SIGNALING	Cutaneotrichosporon	Trichosporonales	Clinical	1.109902285
Cutaneotrichosporon_dermatis_ATCC_204094	Coenzyme transport and metabolism	0.789565935	0.654911221	H	METABOLISM	Cutaneotrichosporon	Trichosporonales	Clinical	1.205607585
Cutaneotrichosporon_dermatis_ATCC_204094	Secondary metabolites biosynthesis, transport, and catabolism	0.815469008	0.654911221	Q	METABOLISM	Cutaneotrichosporon	Trichosporonales	Clinical	1.245159621
Cutaneotrichosporon_dermatis_ATCC_204094	Energy production and conversion	0.785328556	0.654911221	C	METABOLISM	Cutaneotrichosporon	Trichosporonales	Clinical	1.199137427
Cutaneotrichosporon_dermatis_ATCC_204094	Nucleotide transport and metabolism	0.748196025	0.654911221	F	METABOLISM	Cutaneotrichosporon	Trichosporonales	Clinical	1.142438854
Cutaneotrichosporon_dermatis_ATCC_204094	Cell motility	0.791580852	0.654911221	N	CELLULAR PROCESSES AND SIGNALING	Cutaneotrichosporon	Trichosporonales	Clinical	1.20868421
Cutaneotrichosporon_dermatis_ATCC_204094	Signal transduction mechanisms	0.50347303	0.654911221	T	CELLULAR PROCESSES AND SIGNALING	Cutaneotrichosporon	Trichosporonales	Clinical	0.768765313
Cutaneotrichosporon_dermatis_ATCC_204094	Intracellular trafficking, secretion, and vesicular transport	0.669795503	0.654911221	U	CELLULAR PROCESSES AND SIGNALING	Cutaneotrichosporon	Trichosporonales	Clinical	1.022727174
Cutaneotrichosporon_dermatis_ATCC_204094	Cell wall, membrane, envelope biogenesis	0.765031718	0.654911221	M	CELLULAR PROCESSES AND SIGNALING	Cutaneotrichosporon	Trichosporonales	Clinical	1.168145687
Cutaneotrichosporon_dermatis_ATCC_204094	Nuclear structure	0.629695179	0.654911221	Y	CELLULAR PROCESSES AND SIGNALING	Cutaneotrichosporon	Trichosporonales	Clinical	0.961497007
Cutaneotrichosporon_dermatis_ATCC_204094	RNA processing and modification	0.710082328	0.654911221	A	INFORMATION STORAGE AND PROCESSING	Cutaneotrichosporon	Trichosporonales	Clinical	1.084242116
Cutaneotrichosporon_dermatis_ATCC_204094	Transcription	0.464023464	0.654911221	K	INFORMATION STORAGE AND PROCESSING	Cutaneotrichosporon	Trichosporonales	Clinical	0.708528804
Cutaneotrichosporon_dermatis_ATCC_204094	Carbohydrate transport and metabolism	0.763020497	0.654911221	G	METABOLISM	Cutaneotrichosporon	Trichosporonales	Clinical	1.165074704
Cutaneotrichosporon_dermatis_JCM_11170	Signal transduction mechanisms	0.539063531	0.659039805	T	CELLULAR PROCESSES AND SIGNALING	Cutaneotrichosporon	Trichosporonales	Clinical	0.817952918
Cutaneotrichosporon_dermatis_JCM_11170	Cell wall, membrane, envelope biogenesis	0.756418698	0.659039805	M	CELLULAR PROCESSES AND SIGNALING	Cutaneotrichosporon	Trichosporonales	Clinical	1.147758743
Cutaneotrichosporon_dermatis_JCM_11170	Cell motility	0.802576971	0.659039805	N	CELLULAR PROCESSES AND SIGNALING	Cutaneotrichosporon	Trichosporonales	Clinical	1.217797415
Cutaneotrichosporon_dermatis_JCM_11170	Nuclear structure	0.65378192	0.659039805	Y	CELLULAR PROCESSES AND SIGNALING	Cutaneotrichosporon	Trichosporonales	Clinical	0.992021901
Cutaneotrichosporon_dermatis_JCM_11170	Post-translational modification, protein turnover, and chaperones	0.573567596	0.659039805	O	CELLULAR PROCESSES AND SIGNALING	Cutaneotrichosporon	Trichosporonales	Clinical	0.870307972
Cutaneotrichosporon_dermatis_JCM_11170	Amino acid transport and metabolism	0.820698526	0.659039805	E	METABOLISM	Cutaneotrichosporon	Trichosporonales	Clinical	1.24529432
Cutaneotrichosporon_dermatis_JCM_11170	Replication, recombination and repair	0.553248467	0.659039805	L	INFORMATION STORAGE AND PROCESSING	Cutaneotrichosporon	Trichosporonales	Clinical	0.839476557
Cutaneotrichosporon_dermatis_JCM_11170	Intracellular trafficking, secretion, and vesicular transport	0.665881686	0.659039805	U	CELLULAR PROCESSES AND SIGNALING	Cutaneotrichosporon	Trichosporonales	Clinical	1.010381589
Cutaneotrichosporon_dermatis_JCM_11170	RNA processing and modification	0.696832975	0.659039805	A	INFORMATION STORAGE AND PROCESSING	Cutaneotrichosporon	Trichosporonales	Clinical	1.057345807
Cutaneotrichosporon_dermatis_JCM_11170	Transcription	0.541601348	0.659039805	K	INFORMATION STORAGE AND PROCESSING	Cutaneotrichosporon	Trichosporonales	Clinical	0.821803696
Cutaneotrichosporon_dermatis_JCM_11170	Carbohydrate transport and metabolism	0.758439855	0.659039805	G	METABOLISM	Cutaneotrichosporon	Trichosporonales	Clinical	1.150825564
Cutaneotrichosporon_dermatis_JCM_11170	Extracellular structures	0.737723979	0.659039805	W	CELLULAR PROCESSES AND SIGNALING	Cutaneotrichosporon	Trichosporonales	Clinical	1.119392142
Cutaneotrichosporon_dermatis_JCM_11170	Lipid transport and metabolism	0.792285767	0.659039805	I	METABOLISM	Cutaneotrichosporon	Trichosporonales	Clinical	1.202181964
Cutaneotrichosporon_dermatis_JCM_11170	Cytoskeleton	0.526756815	0.659039805	Z	CELLULAR PROCESSES AND SIGNALING	Cutaneotrichosporon	Trichosporonales	Clinical	0.79927921
Cutaneotrichosporon_dermatis_JCM_11170	Secondary metabolites biosynthesis, transport, and catabolism	0.813209748	0.659039805	Q	METABOLISM	Cutaneotrichosporon	Trichosporonales	Clinical	1.233931156
Cutaneotrichosporon_dermatis_JCM_11170	Energy production and conversion	0.772955705	0.659039805	C	METABOLISM	Cutaneotrichosporon	Trichosporonales	Clinical	1.17285132
Cutaneotrichosporon_dermatis_JCM_11170	Cell cycle control, cell division, chromosome partitioning	0.47866546	0.659039805	D	CELLULAR PROCESSES AND SIGNALING	Cutaneotrichosporon	Trichosporonales	Clinical	0.726307358
Cutaneotrichosporon_dermatis_JCM_11170	Defense mechanisms	0.55092111	0.659039805	V	CELLULAR PROCESSES AND SIGNALING	Cutaneotrichosporon	Trichosporonales	Clinical	0.835945122
Cutaneotrichosporon_dermatis_JCM_11170	Chromatin structure and dynamics	0.887691164	0.659039805	B	INFORMATION STORAGE AND PROCESSING	Cutaneotrichosporon	Trichosporonales	Clinical	1.346946204
Cutaneotrichosporon_dermatis_JCM_11170	Inorganic ion transport and metabolism	0.761833379	0.659039805	P	METABOLISM	Cutaneotrichosporon	Trichosporonales	Clinical	1.155974758
Cutaneotrichosporon_dermatis_JCM_11170	Translation, ribosomal structure and biogenesis	0.797407414	0.659039805	J	INFORMATION STORAGE AND PROCESSING	Cutaneotrichosporon	Trichosporonales	Clinical	1.209953341
Cutaneotrichosporon_dermatis_JCM_11170	Nucleotide transport and metabolism	0.764727301	0.659039805	F	METABOLISM	Cutaneotrichosporon	Trichosporonales	Clinical	1.160365876
Cutaneotrichosporon_dermatis_JCM_11170	Coenzyme transport and metabolism	0.801663398	0.659039805	H	METABOLISM	Cutaneotrichosporon	Trichosporonales	Clinical	1.216411196
Cutaneotrichosporon_oleaginosus_ATCC_20508	Translation, ribosomal structure and biogenesis	0.822272041	0.588725192	J	INFORMATION STORAGE AND PROCESSING	Cutaneotrichosporon	Trichosporonales	Environmental	1.39669926
Cutaneotrichosporon_oleaginosus_ATCC_20508	Cytoskeleton	0.578273444	0.588725192	Z	CELLULAR PROCESSES AND SIGNALING	Cutaneotrichosporon	Trichosporonales	Environmental	0.982246814
Cutaneotrichosporon_oleaginosus_ATCC_20508	Signal transduction mechanisms	0.457854584	0.588725192	T	CELLULAR PROCESSES AND SIGNALING	Cutaneotrichosporon	Trichosporonales	Environmental	0.777705099
Cutaneotrichosporon_oleaginosus_ATCC_20508	Transcription	0.346536249	0.588725192	K	INFORMATION STORAGE AND PROCESSING	Cutaneotrichosporon	Trichosporonales	Environmental	0.588621403
Cutaneotrichosporon_oleaginosus_ATCC_20508	Defense mechanisms	0.539708144	0.588725192	V	CELLULAR PROCESSES AND SIGNALING	Cutaneotrichosporon	Trichosporonales	Environmental	0.916740359
Cutaneotrichosporon_oleaginosus_ATCC_20508	Coenzyme transport and metabolism	0.776338695	0.588725192	H	METABOLISM	Cutaneotrichosporon	Trichosporonales	Environmental	1.318677552
Cutaneotrichosporon_oleaginosus_ATCC_20508	Post-translational modification, protein turnover, and chaperones	0.589686267	0.588725192	O	CELLULAR PROCESSES AND SIGNALING	Cutaneotrichosporon	Trichosporonales	Environmental	1.001632468
Cutaneotrichosporon_oleaginosus_ATCC_20508	Cell motility	0.304129633	0.588725192	N	CELLULAR PROCESSES AND SIGNALING	Cutaneotrichosporon	Trichosporonales	Environmental	0.516590147
Cutaneotrichosporon_oleaginosus_ATCC_20508	Amino acid transport and metabolism	0.70779432	0.588725192	E	METABOLISM	Cutaneotrichosporon	Trichosporonales	Environmental	1.202249078
Cutaneotrichosporon_oleaginosus_ATCC_20508	Intracellular trafficking, secretion, and vesicular transport	0.498663836	0.588725192	U	CELLULAR PROCESSES AND SIGNALING	Cutaneotrichosporon	Trichosporonales	Environmental	0.847023098
Cutaneotrichosporon_oleaginosus_ATCC_20508	Secondary metabolites biosynthesis, transport, and catabolism	0.600726549	0.588725192	Q	METABOLISM	Cutaneotrichosporon	Trichosporonales	Environmental	1.020385329
Cutaneotrichosporon_oleaginosus_ATCC_20508	Inorganic ion transport and metabolism	0.726920673	0.588725192	P	METABOLISM	Cutaneotrichosporon	Trichosporonales	Environmental	1.234736822
Cutaneotrichosporon_oleaginosus_ATCC_20508	Extracellular structures	0.455070048	0.588725192	W	CELLULAR PROCESSES AND SIGNALING	Cutaneotrichosporon	Trichosporonales	Environmental	0.772975327
Cutaneotrichosporon_oleaginosus_ATCC_20508	Chromatin structure and dynamics	0.792392583	0.588725192	B	INFORMATION STORAGE AND PROCESSING	Cutaneotrichosporon	Trichosporonales	Environmental	1.34594645
Cutaneotrichosporon_oleaginosus_ATCC_20508	Cell cycle control, cell division, chromosome partitioning	0.432762632	0.588725192	D	CELLULAR PROCESSES AND SIGNALING	Cutaneotrichosporon	Trichosporonales	Environmental	0.735084276
Cutaneotrichosporon_oleaginosus_ATCC_20508	Cell wall, membrane, envelope biogenesis	0.609199339	0.588725192	M	CELLULAR PROCESSES AND SIGNALING	Cutaneotrichosporon	Trichosporonales	Environmental	1.034777086
Cutaneotrichosporon_oleaginosus_ATCC_20508	Lipid transport and metabolism	0.614164873	0.588725192	I	METABOLISM	Cutaneotrichosporon	Trichosporonales	Environmental	1.043211469
Cutaneotrichosporon_oleaginosus_ATCC_20508	Carbohydrate transport and metabolism	0.758207817	0.588725192	G	METABOLISM	Cutaneotrichosporon	Trichosporonales	Environmental	1.287880707
Cutaneotrichosporon_oleaginosus_ATCC_20508	Replication, recombination and repair	0.3981923	0.588725192	L	INFORMATION STORAGE AND PROCESSING	Cutaneotrichosporon	Trichosporonales	Environmental	0.676363616
Cutaneotrichosporon_oleaginosus_ATCC_20508	Nuclear structure	0.530240002	0.588725192	Y	CELLULAR PROCESSES AND SIGNALING	Cutaneotrichosporon	Trichosporonales	Environmental	0.900657911
Cutaneotrichosporon_oleaginosus_ATCC_20508	Energy production and conversion	0.801016186	0.588725192	C	METABOLISM	Cutaneotrichosporon	Trichosporonales	Environmental	1.360594377
Cutaneotrichosporon_oleaginosus_ATCC_20508	RNA processing and modification	0.642741098	0.588725192	A	INFORMATION STORAGE AND PROCESSING	Cutaneotrichosporon	Trichosporonales	Environmental	1.091750626
Cutaneotrichosporon_oleaginosus_ATCC_20508	Nucleotide transport and metabolism	0.734248359	0.588725192	F	METABOLISM	Cutaneotrichosporon	Trichosporonales	Environmental	1.247183522
Cutaneotrichosporon_oleaginosus_IBC0246	Post-translational modification, protein turnover, and chaperones	0.582331842	0.566473487	O	CELLULAR PROCESSES AND SIGNALING	Cutaneotrichosporon	Trichosporonales	Environmental	1.027994876
Cutaneotrichosporon_oleaginosus_IBC0246	Lipid transport and metabolism	0.609769179	0.566473487	I	METABOLISM	Cutaneotrichosporon	Trichosporonales	Environmental	1.076430218
Cutaneotrichosporon_oleaginosus_IBC0246	Carbohydrate transport and metabolism	0.755372493	0.566473487	G	METABOLISM	Cutaneotrichosporon	Trichosporonales	Environmental	1.333464867
Cutaneotrichosporon_oleaginosus_IBC0246	Chromatin structure and dynamics	0.773028001	0.566473487	B	INFORMATION STORAGE AND PROCESSING	Cutaneotrichosporon	Trichosporonales	Environmental	1.36463227
Cutaneotrichosporon_oleaginosus_IBC0246	Cell cycle control, cell division, chromosome partitioning	0.42107511	0.566473487	D	CELLULAR PROCESSES AND SIGNALING	Cutaneotrichosporon	Trichosporonales	Environmental	0.743327127
Cutaneotrichosporon_oleaginosus_IBC0246	Cell motility	0.122960764	0.566473487	N	CELLULAR PROCESSES AND SIGNALING	Cutaneotrichosporon	Trichosporonales	Environmental	0.217063582
Cutaneotrichosporon_oleaginosus_IBC0246	Energy production and conversion	0.79433942	0.566473487	C	METABOLISM	Cutaneotrichosporon	Trichosporonales	Environmental	1.402253482
Cutaneotrichosporon_oleaginosus_IBC0246	Signal transduction mechanisms	0.42431396	0.566473487	T	CELLULAR PROCESSES AND SIGNALING	Cutaneotrichosporon	Trichosporonales	Environmental	0.749044695
Cutaneotrichosporon_oleaginosus_IBC0246	Cytoskeleton	0.568761252	0.566473487	Z	CELLULAR PROCESSES AND SIGNALING	Cutaneotrichosporon	Trichosporonales	Environmental	1.004038609
Cutaneotrichosporon_oleaginosus_IBC0246	Amino acid transport and metabolism	0.712938609	0.566473487	E	METABOLISM	Cutaneotrichosporon	Trichosporonales	Environmental	1.258556005
Cutaneotrichosporon_oleaginosus_IBC0246	Coenzyme transport and metabolism	0.736734589	0.566473487	H	METABOLISM	Cutaneotrichosporon	Trichosporonales	Environmental	1.300563231
Cutaneotrichosporon_oleaginosus_IBC0246	Inorganic ion transport and metabolism	0.727803112	0.566473487	P	METABOLISM	Cutaneotrichosporon	Trichosporonales	Environmental	1.284796426
Cutaneotrichosporon_oleaginosus_IBC0246	Intracellular trafficking, secretion, and vesicular transport	0.495478921	0.566473487	U	CELLULAR PROCESSES AND SIGNALING	Cutaneotrichosporon	Trichosporonales	Environmental	0.874672746
Cutaneotrichosporon_oleaginosus_IBC0246	Defense mechanisms	0.329871497	0.566473487	V	CELLULAR PROCESSES AND SIGNALING	Cutaneotrichosporon	Trichosporonales	Environmental	0.582324689
Cutaneotrichosporon_oleaginosus_IBC0246	Replication, recombination and repair	0.351462896	0.566473487	L	INFORMATION STORAGE AND PROCESSING	Cutaneotrichosporon	Trichosporonales	Environmental	0.620440152
